index,Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Competitors,Average Salary,Average Revenue,Processed_JD
0,Sr Data Scientist,3.1,"Healthfirst
3.1","New York, NY","New York, NY",3000.5,1993,Nonprofit Organization,Insurance Carriers,Insurance,"EmblemHealth, UnitedHealth Group, Aetna",154.0,11033.685185185184,"Description The Senior Data Scientist responsible defining, building, improving statistical models improve business processes outcomes one healthcare domains Clinical, Enrollment, Claims, Finance. part broader analytics team, Data Scientist gather analyze data solve address complex business problems evaluate scenarios make predictions future outcomes work business communicate support decision-making. This position requires strong analytical skills experience analytic methods including multivariate regressions, hierarchical linear models, regression trees, clustering methods complex statistical techniques. Duties Responsibilities: Develops advanced statistical models predict, quantify forecast various operational performance metrics multiple healthcare domains Investigates, recommends, initiates acquisition new data resources internal external sources Works multiple teams support data collection, integration, retention requirements based business needs Identifies critical emerging technologies support extend quantitative analytic capabilities Collaborates business subject matter experts select relevant sources information Develops expertise multiple machine learning algorithms data science techniques, exploratory data analysis predictive modeling, graph theory, recommender systems, text analytics validation Develops expertise Healthfirst datasets, data repositories, data movement processes Assists projects/requests may lead specific tasks within project scope Prepares manipulates data use development statistical models Other duties assigned Minimum Qualifications: -Bachelor's Degree Preferred Qualifications: Master’s degree Computer Science Statistics Familiarity major cloud platforms AWS Azure Healthcare Industry Experience Minimum Qualifications: -Bachelor's Degree Preferred Qualifications: Master’s degree Computer Science Statistics Familiarity major cloud platforms AWS Azure Healthcare Industry Experience ARE EQUAL OPPORTUNITY EMPLOYER. Applicants employees considered positions evaluated without regard mental physical disability, race, color, religion, gender, national origin, age, genetic information, military veteran status, sexual orientation, marital status protected Federal, State/Province Local status unrelated performance work involved. disability Americans Disability Act similar law, want reasonable accommodation assist job search application employment, please contact sending email careers@Healthfirst.org calling 212-519-1798 email please include description accommodation requesting description position applying. Only reasonable accommodation requests related applying position within Healthfirst Management Services reviewed e-mail address phone number supplied. Thank considering career Healthfirst Management Services. EEO Law Poster Supplement ]]>"
1,Data Scientist,4.2,"ManTech
4.2","Chantilly, VA","Herndon, VA",7500.5,1968,Company - Public,Research & Development,Business Services,-1,154.0,1500.0,"Secure Nation, Ignite Future Join top Information Technology Analytic professionals industry make invaluable contributions national security daily basis. innovative, self-contained, Big Data environment, ManTech team responsible everything infrastructure, application development, data science, advanced analytics beyond. The team diverse, questions thought-provoking, opportunities growth advancement numerous The successful candidate possess diverse range data-focused skills experience, technical analytical. They strong desire capability problem solving, data analysis troubleshooting, analytical thinking, experimentation. Duties, Tasks Responsibilities Working large, complex, disparate data sets Designing implementing innovative ways analyze exploit Sponsors data holdings Researching reporting wide variety Sponsor inquiries Raising proactive inquiries Sponsor based observations proposed data analysis/exploitation Solving difficult, non-routine problems applying advanced analytical methodologies, improving analytic methodologies Developing custom searches Communicating coordinating internal external partners needed Required Experience, Skills, Technologies Thorough knowledge appropriate analytic tools methodologies one following: Applied mathematics (e.g. probability statistics, formal modeling, computational social sciences) Computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing) Ability code script one general programming language Experience theoretical understanding algorithms classification, regression, clustering, anomaly detection Knowledge relational databases, including SQL large-scale distributed systems (e.g. Hadoop) Expertise statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods) Demonstrated effectiveness collecting information accurately representing/visualizing non-technical third parties TS/SCI Polygraph Bachelor Science equivalent 12-15 years related experience, consider levels experience. Desired Experience, Skills Technologies Previous investigative experience using combination technical analytic skills #LI-DU1 ManTech International Corporation, well subsidiaries proactively fulfills role equal opportunity employer. discriminate employee applicant employment race, color, sex, religion, age, sexual orientation, gender identity expression, national origin, marital status, physical mental disability, status Disabled Veteran, Recently Separated Veteran, Active Duty Wartime Campaign Badge Veteran, Armed Forces Services Medal, characteristic protected law. require reasonable accommodation apply position ManTech online applicant system, please contact ManTech's Corporate EEO Department (703) 218-6000. ManTech affirmative action/equal opportunity employer minorities, females, disabled protected veterans urged apply. ManTech's utilization external recruitment job placement agency predicated upon full compliance equal opportunity/affirmative action policies. ManTech accept resumes unsolicited recruiting firms. pay fees unsolicited services. qualified individual disability disabled veteran, right request accommodation unable limited ability use access http://www.mantech.com/careers/Pages/careers.aspx result disability. request accommodation please click careers@mantech.com provide name contact information."
2,Data Scientist,3.8,"Analysis Group
3.8","Boston, MA","Boston, MA",3000.5,1981,Private Practice / Firm,Consulting,Business Services,-1,154.0,300.0,"Overview Analysis Group one largest international economics consulting firms, 1,000 professionals across offices North America, Europe, Asia. Since 1981, provided expertise economics, finance, health care analytics, strategy top law firms, Fortune Global 500 companies, government agencies worldwide. Our internal experts, together network affiliated experts academia, industry, government, offer clients exceptional breadth depth expertise. currently seeking Data Scientist join team. The ideal candidate passionate working cutting edge research analytical services Fortune 500 companies, global pharma/biotech firms leaders industries finance, energy life sciences. The Data Scientist contributing member client engagements opportunity work network world-class experts thought leaders. Job Functions Responsibilities The candidate Data Scientist help develop, maintain teach new tools methodologies related data science high performance computing. This position also help Analysis Group maintaining leadership position terms advancing methodology data analytics. The Data Scientist responsible staying abreast new developments technology relating data science, share broadly Analysis Group. Key responsibilities position include: Working project teams address data science/computing challenges Identifying opportunities technology enhance service offerings Acting resource participating client engagements research part project team Maintaining up-to-date knowledge computing tools, providing technical training helping grow in-house knowledge base, specifically Linux environment Presenting research selected conferences Examples activities Data Scientist include: Developing data engineering machine learning production systems full stack data science projects Using natural language processing methodologies work EMR data, social media data unstructured data Optimizing procedures managing accessing large databases (e.g., insurance claims, electronic health records, financial transactions) Creating interactive analytics portals data visualizations (e.g., using R/Shiny, Python/Flask, D3) Building maintaining high performance computing (HPC) tools grid cloud computing environments Developing reviewing software packages Python Object Oriented Languages Establishing optimized procedures repetitive computationally intensive tasks (C, C++, Cuda-C) Qualifications Strong credentials experience database management data visualization Significant experience working within Linux environment required Background Statistics/Econometrics Biostatistics Ideally PhD Computer Science, Mathematics, Statistics, Economics relevant scientific degree relevant experience. Other candidates least one year experience field may also considered Excellent written verbal communication skills Project experience and/or Python Familiar online/cloud computing/storage (e.g., AWS) Demonstrated experience working project teams collaborating others SCIENTIFIQUE DES DONNÉES *L’utilisation genre masculin sert uniquement alléger texte est utilisé ici tant que genre neutre Survol Groupe d’analyse ltée est l’une des plus grandes firmes services-conseils économie, comptant plus 950 professionnels répartis dans bureaux Amérique Nord, Europe Asie. Depuis 1981, nous offrons notre expertise matière stratégie, d’économie, finance d’analyse dans domaine des soins santé aux grands cabinets d’avocats, aux sociétés Fortune Global 500 aux agences gouvernementales monde entier. Nos professionnels poste conjugués notre réseau spécialistes affiliés issus d’universités, d’industries spécifiques d’organismes gouvernementaux procurent notre clientèle savoir-faire d’une portée d’une profondeur exceptionnelles. Nous sommes présentement recherche d'un Scientifique des données Data Scientist pour joindre notre équipe. candidat idéal devrait être passionné par recherche pointe les services analytiques pour les entreprises Fortune 500, les entreprises pharmaceutiques biotechnologiques mondiales les chefs file dans des secteurs finance, l'énergie les sciences vie. Scientifique des données sera membre contributeur aux mandats des clients aura l'occasion travailler avec notre réseau d'experts leaders d'opinion classe mondiale. Description poste des responsabilités scientifique des données aidera développer, maintenir enseigner nouveaux outils méthodologies liés science des données Data Science HPC. poste aidera également Groupe d'analyse maintenir position chef file qui trait l'avancement méthodologie l'analyse des données. scientifique des données sera chargé tenir courant des nouveaux développements technologiques liés science des données, afin les partager plus largement avec Groupe d'analyse. Les principales responsabilités poste comprendront: Collaborer avec les consultants pour relever les défis science des données sciences informatiques Agir titre ressource participer aux mandats recherche tant que membre l'équipe projet Maintenir jour les connaissances sur les outils informatiques, fournir une formation technique aider développer base connaissances interne, notamment dans environnement Linux Présenter recherche des conférences choisies Exemples tâches scientifique des données Développement systèmes production ingénierie des données ainsi qu’en apprentissage machine pour des projets science des données full stack Utiliser des méthodologies NLP pour travailler avec les données médicales électroniques, les données des médias sociaux d'autres données non structures Optimiser les procédures gestion d'accès aux grandes bases données (ex. réclamations d'assurance, dossiers santé électroniques, transactions financières) Création portails d'analyse interactifs visualisations données (par exemple, utilisant R/Shiny, Python/Flask, D3) Construire maintenir des outils calcul haute performance (HPC). Développement révision codes Python autres langages Mise place procédures optimisées pour les tâches répétitives intensives calcul (C, C++, Cuda-C) Qualifications requises Solides références expérience dans gestion bases données visualisation données Expérience travail significative dans environnement Linux requise Expérience antérieure statistique/économétrie bio-statistique Idéalement, être titulaire d'un doctorat sciences informatiques, mathématiques, statistique, économie d'un autre diplôme scientifique pertinent posséder une expérience pertinente. Les candidats ayant moins d'expérience dans domaine peuvent également être considérés. Excellentes aptitudes communication écrite verbale Expérience projet avec et/ou Python Familiarité avec l'informatique ligne/info nuagique stockage (AWS) Expérience travail démontrée sein d'équipes projet collaboration avec d'autres personnes Equal Opportunity Employer/Protected Veterans/Individuals Disabilities. Please view Equal Employment Opportunity Posters provided OFCCP here. The contractor discharge manner discriminate employees applicants inquired about, discussed, disclosed pay pay another employee applicant. However, employees access compensation information employees applicants part essential job functions cannot disclose pay employees applicants individuals otherwise access compensation information, unless disclosure (a) response formal complaint charge, (b) furtherance investigation, proceeding, hearing, action, including investigation conducted employer, (c) consistent contractor's legal duty furnish information. CFR 60-1.35(c)"
3,Data Scientist,3.5,"INFICON
3.5","Newton, MA","Bad Ragaz, Switzerland",750.5,2000,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,"MKS Instruments, Pfeiffer Vacuum, Agilent Technologies",154.0,300.0,"JOB DESCRIPTION: passion Data Machine Learning? dream working customers forward-looking initiatives? Does challenge developing modern machine learning solutions solve real-world manufacturing problems exciting you? develop software monitoring semiconductor manufacturing process looking leverage latest technologies address customer's needs. You part team investigates builds solutions based data available factories, ranging time series data, post manufacturing data, production logs. You working side side application developers customers real world problems actual manufacturing data. JOB FUNCTION: Basic applied research statistical machine learning, deep learning, data science well signal information processing advance state art time series analysis semiconductor manufacturing data. Responsibilities: Perform data analysis, data pre-processing, feature engineering support advanced machine learning algorithm development. Incorporate physical operational insights/constraints statistical models achieve high degree robustness. Prototype algorithms proof concept, validation, software implementation. Support performance evaluations transition algorithms existing fault detection classification systems. Convey results scientific research sponsors scientific community briefings, conferences peer-reviewed publications. Other related functions assigned. REQUIRED QUALIFICATIONS: Bachelor's degree computer science chemical engineering related technical field. Demonstrated ability machine learning/artificial intelligence (ML/AI) development and/or scientific modelling data analysis. Demonstrated ability python/MATLAB similar abstract language. Experience traditional modern deep learning approaches. Experience agile development practices Git version control. Experience one DNN frameworks like TensorFlow, PyTorch, Chainer. Experience SQL, Graph stores, NoSQL stores. Applicant must dynamic skill set, willing work new technologies, highly organized capable planning coordinating multiple tasks. The position require attention detail, effective problem solving skills excellent judgment. Ability work independently sensitive confidential information, maintain professional demeanor, work team member without daily supervision. COMPENSATION BENEFITS: Compensation commensurate experience including competitive base salary, bonus opportunity, competitive benefits package, relocation assistance. INFICON, committed ensuring online application process provides equal opportunity job seekers apply without regard race, religion, ethnicity, national origin, citizenship, gender, age, protected veteran status, disability status, genetic information, sexual orientation, protected characteristic. notice describing Federal equal employment opportunity laws available reaffirm commitment. PI120660357"
4,Data Scientist,2.9,"Affinity Solutions
2.9","New York, NY","New York, NY",125.5,1998,Company - Private,Advertising & Marketing,Business Services,"Commerce Signals, Cardlytics, Yodlee",154.0,11033.685185185184,"Data Scientist Affinity Solutions Marketing Cloud seeks smart, curious, technically savvy candidates join cutting-edge data science team. hire best brightest give opportunity work industry-leading technologies. The data sciences team AFS/Marketing Cloud build models, machine learning algorithms power ad-tech/mar-tech products scale, develop methodology tools precisely effectively measure market campaign effects, research in-house public data sources consumer spend behavior insights. role, opportunity come new ideas solutions lead improvement ability target right audience, derive insights provide better measurement methodology marketing campaigns. You'll access core data asset machine learning infrastructure power ideas. Duties Responsibilities Support clients model building needs, including maintaining improving current modeling/scoring methodology processes, Provide innovative solutions customized modeling/scoring/targeting appropriate ML/statistical tools, Provide analytical/statistical support marketing test design, projection, campaign measurement, market insights clients stakeholders. Mine large consumer datasets cloud environment support hoc business statistical analysis, Develop Improve automation capabilities enable customized delivery analytical products clients, Communicate methodologies results management, clients none technical stakeholders. Basic Qualifications Advanced degree Statistics/Mathematics/Computer Science/Economics fields requires advanced training data analytics. Being able apply basic statistical/ML concepts reasoning address solve business problems targeting, test design, KPI projection performance measurement. Entrepreneurial, highly self-motivated, collaborative, keen attention detail, willingness capable learn quickly, ability effectively prioritize execute tasks high pressure environment. Being flexible accept different task assignments able work tight time schedule. Excellent command one programming languages; preferably Python, SAS Familiar one database technologies PostgreSQL, MySQL, write basic SQL queries Great communication skills (verbal, written presentation) Preferred Qualifications Experience exposure large consumer and/or demographic data sets. Familiarity data manipulation cleaning routines techniques."
5,Data Scientist,4.2,"HG Insights
4.2","Santa Barbara, CA","Santa Barbara, CA",125.5,2010,Company - Private,Computer Hardware & Software,Information Technology,-1,154.0,11033.685185185184,"About Us: Headquartered beautiful Santa Barbara, Insights global leader technology intelligence. Insights uses advanced data science methodologies help world's largest technology firms fastest growing companies accelerate sales, marketing, strategy efforts. offer casual yet professional environment. Get sweat one fitness classes run along beach two blocks away. You find employees riding bikes lunch funk zone hanging one collaboration spaces. passionate jobs get-it-done attitude, yet take seriously. What You'll Do: looking data scientist software development data engineering background join research team reports directly CTO. rapidly growing company small focused engineering teams deliver innovative features fast growing market. build big-data systems utilizing cutting edge technologies solutions allow engineers continuously learn develop shipping amazing products. Qualities/ Experience: Self-learner, hacker, technology advocate work anything Amazing engineering skills, way one best engineers know You architect, design, code, test, mentor others Experience working interesting successful projects Thrive fast growing environment Excellent written spoken English communication interest Machine Learning Natural Language Processing What You'll Responsible For: Build solutions text classification, entity linking, entity extraction related projects Scaling machine learning NLP projects run large datasets virtualized environments. You collaborate Product Development Teams build effective solutions You develop features databases, backend apps, front end UI, Data Service (DAAS) product You help architect design large scale enterprise big-data systems You work ideas different team members well Fix bugs rapidly Attend daily stand-up meetings, planning sessions, encourage others, collaborate rapid pace What You'll Need: BS, MS, Ph.D. Computer Science related technical discipline Experience Natural Language Processing, preferably commercial setting. Experience building Logistic Regression Models Proficient Python Jupyter well related data science libraries (such Scikit-learn, NLTK, SpaCy, Tensorflow) Proficient Java Scala (3+ years experience recommended) Experience MySQL, ElasticSearch, ESB, Hadoop, Spark, related data processing/database technologies Experience Amazon Web Services (EC2, S3, RDS, EMR, ELB, etc.) Experience web services using REST Java Actual coding experience large distributed environments multiple endpoints complex interactions Comfortable agile development environment Understanding real world experience using design patterns Comfortable programming Mac Intellij tools Insights Company Equal Opportunity Employer Please note Insights accept unsolicited resumes recruiters employment agencies. event recruiter agency submitting resume candidate without signed agreement place, explicitly reserve right pursue hire candidates without financial obligation recruiter agency. Any unsolicited resumes, including submitted directly hiring managers, deemed property Insights"
6,Data Scientist / Machine Learning Expert,3.9,"Novartis
3.9","Cambridge, MA","Basel, Switzerland",10000.0,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,-1,154.0,10.0,"Posting Title Data Scientist Machine Learning Expert 04-Feb-2020 Job 288341BR Job Description ONE Global Discovery Chemistry Community working across disease areas Novartis Institutes BioMedical Research (NIBR) seeking highly talented motivated Data Scientist join Global Discovery Chemistry Department Cambridge, MA. The successful candidate join energizing collaborative research organization, working alongside colleagues committed improving human health discovery transformative medicines. seeking unique data scientist skills, experience passion extract new knowledge disruptive insights large rich body data collected one world’s leading pharmaceutical companies. You member global Computer-Aided Drug Discovery (CADD) group, interdisciplinary team expert molecular modelers, cheminformaticians, data scientists. Teamed domain experts biology, chemistry translational medicine, unique opportunity develop apply cutting-edge machine learning technologies uncover insights real-world drug discovery problems innovate paths new medicines. Your responsibilities include: •Develop implement methods extracting patterns correlations internal external data sources using machine learning toolkits •Develop workflows conducting comparative analysis among Novartis’ diverse data sources well generalizing approaches developed in-house externally. •Enable open-source solutions internal use implement cutting-edge published scientific methods. •Develop customized machine learning solutions including data querying knowledge extraction. •Interact part interdisciplinary project teams drive effective decision-making mining developing predictive models •Develop new skills area cheminformatics drug discovery leverage accelerate development new machine learning algorithms •Keep ahead scientific literature interact internal external scientists integrate novel data science technologies Minimum requirements Education: Advanced degree (M.Sc. higher) data science machine learning, statistics, computer sciences, cheminformatics, mathematics, computational chemistry, computational biology, bioinformatics, related field. Minimum experience skills: •In-depth experience modern classical machine learning methods •Strong statistical foundation broad knowledge supervised unsupervised techniques •Programming experience (preferred Python, C++) preferably Linux high-performance computing environments •Good listener strong, concise, consistent written oral communication •Talent communicating stories data visualizations •Proven ability collaborate others passion tackling challenging problems developing creative solutions drive self-development focus scientific know-how Additional qualifications help role: •Demonstrated impact using machine learning libraries, scikit-learn, PyTorch similar cheminformatics context •Hands experience data analysis software Spotfire, R-shiny similar •Working experience open-source cheminformatics toolkits RDKit •Working experience source-code management systems Git/github/bitbucket •Familiar foundational concepts molecular biology, pharmacology medicine. Working knowledge medicinal chemistry drug discovery plus Why consider Novartis? 750 million. That’s many lives products touch. And we’re proud fact, world digital technological transformation, must also ask this: continue improve extend even people’s lives? believe answers found curious, courageous collaborative people like brought together inspiring environment. Where you’re given opportunities explore power digital data. Where you’re empowered risk failure taking smart risks, you’re surrounded people share determination tackle world’s toughest medical challenges. Novartis. Join help reimagine medicine. Job Type Full Time Country USA Work Location Cambridge, Functional Area Research Development Division NIBR Business Unit Global Discovery Chemistry Employment Type Regular Company/Legal Entity NIBRI EEO Statement The Novartis Group Companies Equal Opportunity Employers take pride maintaining diverse environment. discriminate recruitment, hiring, training, promotion employment practices reasons race, color, religion, gender, national origin, age, sexual orientation, marital veteran status, disability, legally protected status. Shift Work"
7,Data Scientist,3.5,"iRobot
3.5","Bedford, MA","Bedford, MA",3000.5,1990,Company - Public,Consumer Electronics & Appliances Stores,Retail,-1,154.0,1500.0,"Introduction Have always wanted run experiments global fleet consumer robots? iRobot looking data scientist help manage a/b tests related robot software, track performance KPIs, share results software teams. strong candidate experience experimental design, hypothesis testing, statistics, addition strong SQL Python skills. What You Will Do: Guide software product management teams designing rigorous experiments test impact new software versions. Dashboarding monitor results live fleet. Test hypotheses software performance using appropriate statistical methods. Develop metrics track software performance. Uphold scientific best practices experimental design cohort selection. Contribute management system cohort selection. Successful You Will Have: least year relevant job, internship, co-op experience. M.S. computer science, statistics, mathematics, physics, chemistry, biology, social sciences plus. Very detail-oriented eager get hands dirty data. Proficient Python, SQL, data visualization, experience using pandas, numpy, sklearn, scipy, matplotlib, plotly. Experienced designing experiments, making testing hypotheses, identifying appropriate metrics answer question. Savvy statistical methods able select right test situation. Can balance business considerations need scientific rigor. Self-motivated comfortable working fast-paced, delivery-focused environment. Skilled communicator make complicated seem simple. Passionate using data drive decision-making!"
8,Staff Data Scientist - Analytics,4.4,"Intuit - Data
4.4","San Diego, CA","Mountain View, CA",7500.5,1983,Company - Public,Computer Hardware & Software,Information Technology,"Square, PayPal, H&R Block",154.0,3500.0,"Intuit seeking Staff Data Scientist cover Intuits Consumer Group (TurboTax, Mint, Turbo). exciting opportunity help shape use data generate hypotheses, surface insights, build models order personalize customer experiences provide awesome outcomes business customers. This role partner closely data engineering, data analytics, data science, marketing managers, product management."
9,Data Scientist,3.6,"XSELL Technologies
3.6","Chicago, IL","Chicago, IL",125.5,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,-1,154.0,11033.685185185184,"Ready write best chapter career? XSELL Technologies artificial intelligence company focused increasing sales. Our cloud-based machine learning engine uses predictive analytics natural language processing equip sales professionals best real-time responses, driving improved conversion rates customer experiences. pride high performing, collaborative culture. passionate product, clients, industry leading results. XSELL currently seeking Data Scientist serve key member Data Science team. This role work within SAFe Agile framework continuous delivery, work Data Scientists, critical resource growing Data Science staff. Job Description Designing, implementing improving XSELL’s proprietary softwares, real time messaging recommendation systems, HiPerCoBot QABOt using various mathematical, Natural Language Processing (NLP) algorithms machine learning models. Developing new systems using Python NLP (lemmatization, stemming, named entity recognition) updating existing systems adding new features enhance customers experience. Interacting stakeholders identify requirements define new processes. Closely work team define architecture Microservice environment deploy systems using RESTful API’s. Planning, development, analysis dialogue prediction/sentiment models, causal models customer/agent behavior. Improving accuracy house XSELL Recommendation System software suite evaluating monitoring annotations manually labelled Ontology team. Analyzing researching current market trends possible opportunities/improvements. Qualifications MS/PhD quantitative discipline (e.g. Machine Learning, Data Science, Computer Science, Mathematics, Statistics, related field). years full time employment postdoctoral experience building validating predictive models structured unstructured data. Proficiency Python knowledge basic libraries data manipulation, machine learning, natural language processing text mining. Experience creating using advanced machine learning algorithms (regression, neural networks, etc.) Understanding deep learning algorithms experience related libraries TensorFlow, PyTorch. Nice Have Experience SQL. Understanding object oriented design. Ability craft new concepts stay current academic research Experience graph databases graph designs. Experience designing/developing production level machine learning architectures (using Flask Redis) provide competitive compensation, generous benefits, professional atmosphere. XSELL fosters entrepreneurial, results driven work environment opportunity part collaborative, inclusive team able grow develop professional career. XSELL Technologies Equal Employment Opportunity Employer employment decisions shall made without regard age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity expression, genetic information, marital status, citizenship status basis protected federal, state, local law. Location: Chicago, Role: Full-Time Salaried"
